-あい /AI/Aicoo/ai/慈愛/歩惟/
-あいがーるず /Ai-Girls/をテーマにした/
-あいされるためにここにいる /愛されるために/
-あいするものよ /愛する者よ/
-あいちけんちほうもくざ /愛知県地方木材/
-あいははな /愛は花/
-あいびーえむごーにーごーまる /IBM 5250/
-あいびーえむさんにーななまる /IBM 3270/
-あいまいなぶんぽう /曖昧な文法/
-あいゆー /IU/
-あいりす /IRIS/Iris/eyelis/i☆Ris/愛リス/艾莉絲/
-あおいか /アオイ科/
-あおきしんこう /青木信仰/
-あおきはやと /青木勇人/
-あおきみちよし /青木通佳/
-あおきゆうぞう /青木雄造/
-あおやぎたかや /青柳尊哉/
-あかいかみ /赤い紙/
-あかてつか /アカテツ科/
-あかんどう /赤ん堂/
-あきのきりんそうぞく /アキノキリンソウ属/
-あきはさんしゅうようじ /秋葉山秋葉寺/
-あきもとりょうた /秋元良太/
-あきら /AKIRA/Akira/Aqilla/中尾彬/中川晟/円谷粲/叶亜樹良/小島斌/小川亮/日向旻/日日日/晶羅/輝-Akira-/鉄拳の晃/
-あくしーど /Acceed/
-あくやくいちごう /悪役1号/
-あくらのんご /アクラノン語/
-あくりょうばらい /悪霊ばらい/
-あげな /Agena/
-あげはちょうか /アゲハチョウ科/
-あこーすご /アコース語/
-あごんきりやまはいちゅうごくいきかいきこうかいせん /阿含・桐山杯中国囲棋快棋公開戦/
-あさいのりあき /浅生憲章/
-あさかののうぎょうきょうどうくみあい /あさか野農業協同組合/
-あさくさく /浅草区/
-あさのたかみ /浅野孝已/
-あさのたけお /浅野丈夫/浅野武夫/
-あさひがおかしょうがっこう /旭丘小学校/
-あさひがおかちゅうがっこう /旭丘中学校/
-あさりまさかつ /浅利正勝/
-あさんわん /牙山湾/
-あしかがしゅうこう /足利周暠/
-あしきよよ /悪しき世よ/
-あしぺん /葦ペン/
-あしんくろなすとらんすふぁーもーど /Asynchronous Transfer Mode/
-あじありんしょうしゅようれんめい /アジア臨床腫瘍連盟/
-あじた /阿氏多/
-あすかやまこうえん /飛鳥山公園/
-あすなろ /ASNARO/
-あずまこーと /東コート/
